NUMERO DE ESTUDIANTE;TIPO DE INGRESO;COHORTE;AÑO_INGRESO;TIPO_LICEO;PROCEDENCIA_DEL_LICEO;PROMEDIO_BACHILLERATO;GENERO;NOMBRE_CARRERA;SITUACION;INDICE ACADEMICO;ULTIMO PERIODO CURSADO
3102;Admisión OPSU;13;2013;O;VARGAS;16,95;M;ORGANIZACIÓN EMPRESARIAL;SUSPENDIDO;1;Septiembre-Diciembre 2013
3103;Admisión OPSU;13;2013;P;VARGAS;16,83;F;COMERCIO EXTERIOR;SUSPENDIDO;3,05;Enero-Marzo   2014
3104;Admisión OPSU;13;2013;S;Vargas;16,89;M;INGENIERÍA DE MANTENIMIENTO;ACTIVO;3,8208;Enero-Marzo   2018
3105;Admisión OPSU;13;2013;P;Vargas;16,05;M;TECNOLOGÍA MECÁNICA;SUSPENDIDO;1,6522;Enero-Marzo   2014
3106;Admisión OPSU;17;2017;P;Vargas;14,6429;F;TECNOLOGÍA ELÉCTRICA;PERIODO DE PRUEBA;2,3846;Septiembre - Diciembre 2017
3107;Admisión OPSU;13;2013;O;Distrito Federal;16,57;F;GESTIÓN DE LA HOSPITALIDAD;ACTIVO;3,7267;Enero-Marzo   2018
3108;Admisión OPSU;13;2013;O;VARGAS;15;F;ADMINISTRACIÓN DEL TURISMO;SUSPENDIDO;2,65;Abril-Julio 2015
3109;Admisión OPSU;13;2013;P;Miranda;14,95;M;MANTENIMIENTO AERONÁUTICO;SUSPENDIDO;3,2381;Enero-Marzo   2016
3110;Admisión OPSU;13;2013;O;Distrito Federal;;M;INGENIERÍA DE MANTENIMIENTO;SUSPENDIDO;1;Septiembre-Diciembre 2013
3111;Admisión OPSU;13;2013;O;DISTRITO CAPITAL;;F;COMERCIO EXTERIOR;SUSPENDIDO;1,2308;Septiembre-Diciembre 2013
3112;Admisión OPSU;13;2013;O;Distrito Federal;;M;MANTENIMIENTO AERONÁUTICO;ACTIVO;3,4087;Enero-Marzo   2018
3113;Admisión OPSU;17;2017;P;Vargas;17,2683;F;COMERCIO EXTERIOR;RETIRADO;2,8462;Enero-Marzo   2018
3114;Admisión OPSU;13;2013;O;;;M;COMERCIO EXTERIOR;SUSPENDIDO;1;Septiembre-Diciembre 2013
3115;Admisión OPSU;13;2013;P;MIRANDA;16,33;F;COMERCIO EXTERIOR;SUSPENDIDO;1;Septiembre-Diciembre 2013
3116;Admisión OPSU;13;2013;O;Miranda;;M;ADMINISTRACIÓN HOTELERA;SUSPENDIDO;1;Septiembre-Diciembre 2013
3117;Admisión OPSU;13;2013;P;Miranda;16,45;M;TECNOLOGÍA MECÁNICA;SUSPENDIDO;3,3158;Enero-Marzo   2014
3118;Admisión OPSU;13;2013;O;MIRANDA;;M;COMERCIO EXTERIOR;ACTIVO;3,1807;Enero-Marzo   2018
